"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 11, 2022","58.9595","63.2685","64.9299","56.7395","1.15M","-6.84%"
"Feb 10, 2022","63.2871","67.5909","68.2155","62.5966","1.46M","-6.37%"
"Feb 09, 2022","67.5909","66.6989","68.0548","63.1287","1.06M","1.34%"
"Feb 08, 2022","66.6989","68.2861","69.2684","62.3243","1.64M","-2.32%"
"Feb 07, 2022","68.2861","68.1450","71.8364","66.8181","2.21M","0.21%"
"Feb 06, 2022","68.1428","56.8501","68.6312","56.7599","2.98M","19.83%"
"Feb 05, 2022","56.8685","51.3492","59.3771","50.8588","2.20M","10.75%"
"Feb 04, 2022","51.3492","48.4215","51.6467","47.5829","1.20M","6.36%"
"Feb 03, 2022","48.2792","49.0866","49.2343","46.0874","1.62M","-1.61%"
"Feb 02, 2022","49.0689","53.3820","53.9129","48.4981","1.21M","-8.08%"
"Feb 01, 2022","53.3820","52.3720","54.7317","51.8806","1.02M","1.93%"
"Jan 31, 2022","52.3710","53.4466","54.5203","49.7709","1.64M","-2.01%"
"Jan 30, 2022","53.4466","49.4452","56.0582","49.0983","2.06M","8.09%"
"Jan 29, 2022","49.4452","46.9087","50.0190","46.2722","1.98M","5.41%"
"Jan 28, 2022","46.9085","47.2463","48.3319","44.7029","1.44M","-0.72%"
"Jan 27, 2022","47.2473","49.5324","50.5036","44.9101","1.46M","-4.61%"
"Jan 26, 2022","49.5324","50.8046","55.5381","48.4598","1.22M","-2.39%"
"Jan 25, 2022","50.7455","51.2111","51.8827","49.3096","780.92K","-0.91%"
"Jan 24, 2022","51.2097","54.5863","54.6210","44.4933","1.66M","-6.20%"
"Jan 23, 2022","54.5946","50.1504","54.5946","49.6446","833.88K","8.86%"
"Jan 22, 2022","50.1505","58.3875","59.3547","47.6665","1.82M","-14.11%"
"Jan 21, 2022","58.3875","69.2122","69.2739","57.0170","1.21M","-15.64%"
"Jan 20, 2022","69.2122","71.8051","75.9174","68.8437","558.02K","-3.61%"
"Jan 19, 2022","71.8051","73.8179","74.1362","70.6147","504.48K","-2.73%"
"Jan 18, 2022","73.8179","76.5371","77.2649","72.1694","632.49K","-3.55%"
"Jan 17, 2022","76.5371","80.1550","83.0895","75.1544","1.10M","-4.51%"
"Jan 16, 2022","80.1550","75.3852","82.5515","74.5768","1.35M","6.33%"
"Jan 15, 2022","75.3852","73.6806","76.1370","73.0493","335.51K","2.31%"
"Jan 14, 2022","73.6806","72.9948","75.6221","71.0294","511.71K","0.96%"
"Jan 13, 2022","72.9813","78.2052","78.6500","72.8680","598.18K","-6.60%"
"Jan 12, 2022","78.1371","72.7154","79.3280","72.1709","734.22K","7.46%"
"Jan 11, 2022","72.7154","68.4187","73.3747","67.5634","715.85K","6.28%"
"Jan 10, 2022","68.4187","71.9300","73.1811","65.3053","719.99K","-4.85%"
"Jan 09, 2022","71.9036","70.3769","74.1428","69.1221","654.52K","2.18%"
"Jan 08, 2022","70.3682","73.4393","75.6738","67.8544","846.63K","-4.18%"
"Jan 07, 2022","73.4393","79.0878","79.1400","70.6379","1.20M","-7.13%"
"Jan 06, 2022","79.0813","80.1932","80.8723","75.4733","1.19M","-1.34%"
"Jan 05, 2022","80.1565","92.8828","94.8940","75.3869","1.51M","-13.70%"
"Jan 04, 2022","92.8828","94.3725","96.7382","92.7030","449.17K","-1.58%"
